layer	latent	clinical_exp	model
20	148	"""The model is activated by plural nouns, particularly those referring to family members or medical professionals, often in the context of medical history or procedures."""	9B
20	151	"""Medical abbreviations or units, particularly those related to cardiovascular conditions or lab values."""	9B
20	155	"""Medical terminology, abbreviations, or specific medical instructions."""	9B
20	158	"""The token \""again\"" is consistently activated across all snippets, often in conjunction with verbs or phrases indicating repeated or ongoing events, suggesting that the model is recognizing patterns of recurrence or repetition."""	9B
20	159	"""Medical conditions, diagnoses, or clinical findings, particularly those related to cardiovascular health."""	9B
20	160	"""Punctuation and conjunctions separating items in lists or medical findings, particularly in radiology reports."""	9B
20	164	"""The model is activated by medical terms, abbreviations, and specific words related to medical procedures, diagnoses, or patient information."""	9B
20	165	"""The forward slash symbol \""/\"" is activated when it is part of a notation indicating \""with\"" or \""w/\"", often used to describe a patient's condition, treatment, or medical history."""	9B
20	166	"""Medical procedures, devices, or body parts involved in medical interventions."""	9B
20	167	"""The term \""spontaneous\"" or the concept of reflexes."""	9B
20	168	"""Phrases indicating a specific point in time, particularly those related to hospitalization or treatment, such as \""at time of discharge\"" or \""at time of admission\""."""	9B
20	169	"""Glucose levels or insulin dosages, particularly those with values in the range of 50-200 mg/dL."""	9B
20	172	"""Medical prefixes or abbreviations indicating normal or pre-existing conditions."""	9B
20	173	"""Medication names or specific medical terms, particularly those related to prescriptions or lab results."""	9B
20	175	"""Coping or managing with a situation or problem."""	9B
20	176	"""Dosage adjustments or measurements, particularly those involving decreases or increases by a specific unit or amount."""	9B
20	177	"""The activation patterns are associated with the presence of a comma or the word \""or\"", often used to list alternatives or options in medical instructions or descriptions."""	9B
20	180	"""HTML tags, particularly those denoting bold or italic formatting, and line breaks."""	9B
20	184	"""The activation pattern is associated with the phrase \""save\"" or \""saving\"", often used in medical contexts to instruct patients or healthcare providers to preserve or retain something, such as bodily fluids, medical devices, or anatomical structures."""	9B
20	185	"""Physical therapy or rehabilitation services."""	9B
20	186	"""Medical terms, particularly those related to laboratory testing, medical conditions, and pharmaceuticals."""	9B
20	187	"""Medical device-related terms or mentions of device clinics."""	9B
20	190	"""The model is activated by standalone numbers or numerical values, especially when they appear in a medical context, such as dosages or measurements."""	9B
20	191	"""Postoperative day numbers or numerical values."""	9B
20	192	"""Medical measurements, lab values, and medication information."""	9B
20	193	"""Uncertainty or probability expressed through phrases like \""likely represents\"", \""is likely\"", \""most likely due to\"", or \""considered possible\""."""	9B
20	194	"""Reference to a normal or expected range in medical contexts."""	9B
20	197	"""Medical imaging procedures or results."""	9B
20	198	"""The closing curly bracket \""}\"" is consistently activated, suggesting it is a delimiter marking the end of a significant piece of information, likely a medical test or result."""	9B
20	2	"""Medication names, dosages, or medical conditions."""	9B
20	20	"""Newborn or infant-related physical characteristics, health status, or care."""	9B
20	200	"""Medication instructions or prescriptions specifically mentioning \""Capsule\""."""	9B
20	205	"""The activation patterns are associated with the presence of a comma (\"",\"") and sometimes the pronouns \""he\"" or \""she\"" immediately following it, indicating that the model is capturing the transition to a new clause or sentence, often involving a change in subject or action, typically in a medical narrative."""	9B
20	206	"""Abbreviations or words that are part of medical terminology, particularly those related to medical procedures, reports, or patient information."""	9B
20	207	"""Numerical values, particularly those with negative signs or decimal points, often in the context of medical measurements or test results."""	9B
20	21	"""Symptoms or warning signs that may require immediate medical attention."""	9B
20	210	"""Laboratory values and medical test results, often including units and numerical values."""	9B
20	217	"""The model is activated by medical terms, particularly those related to medical procedures, diagnoses, medications, and anatomical locations."""	9B
20	218	"""Numerical values, units of measurement, and medical terminology, particularly those related to medication, dosages, and medical imaging."""	9B
20	219	"""The relationship between a child and their parent, typically indicated by the preposition \""to\"" or \""a\"" preceding a familial noun such as \""mother\"", \""father\"", or \""son\""."""	9B
20	22	"""The presence of the medication Warfarin, often in the context of anticoagulation therapy and INR management."""	9B
20	220	"""The activation patterns are associated with the concept of physical pressure or constriction, often related to medical symptoms or conditions, particularly those involving the chest or cardiovascular system."""	9B
20	223	"""Falling or hitting one's head, often resulting in injury."""	9B
20	225	"""The symbol <<<>>> is often used to indicate a specific value or threshold, typically in a medical context, such as blood pressure, lab results, or medication dosages."""	9B
20	226	"""Contrastive or linking phrases, often indicating a shift or addition in the narrative, particularly those involving the words \""but\"", \""was\"", \""were\"", \""and\"", \""is\"", \""with\"", or \""of\""."""	9B
20	228	"""The model is activated by phrases indicating continuation or persistence of a condition, action, or state, often in a medical context."""	9B
20	229	"""The term \""beta\"" in the context of medical treatment, specifically referring to beta blockers."""	9B
20	232	"""Tokens that are part of a medical diagnosis, procedure, or a list of items, especially when they are part of a sequence of consecutive tokens that are also important."""	9B
20	233	"""The token \""taminophen\"" is consistently activated, suggesting that the model is recognizing acetaminophen as a key medication component."""	9B
20	235	"""Decades or age ranges, typically denoted by an apostrophe and an 's'."""	9B
20	237	"""Cardiovascular-related diagnoses or findings, particularly those involving obstructions, blockages, or abnormalities in heart valves or blood vessels."""	9B
20	238	"""The model is activated by medical terms, diagnoses, and concepts, particularly when they are part of a formal or structured entry, such as a diagnosis, a medical history, or a medication list, often denoted by colons or other punctuation."""	9B
20	239	"""Quantitative measurements or numerical values, often indicating sizes, quantities, or ranges."""	9B
20	241	"""Prepositions indicating location or association, often used in medical contexts to describe the relationship between anatomical structures or conditions."""	9B
20	244	"""Medical terms or phrases, often indicating a condition, disease, or anatomical location, typically used in a clinical or diagnostic context."""	9B
20	245	"""Medical services, professionals, or organizations involved in patient care."""	9B
20	246	"""The pattern of activation is associated with the frequency of medication administration, specifically the phrase \""every\"" and the preceding parentheses, which typically contain a numerical value indicating the time interval."""	9B
20	247	"""Medical specialists or specialized care."""	9B
20	248	"""Ranges of blood glucose levels."""	9B
20	249	"""Numerical values and units in medical test results."""	9B
20	252	"""Medical procedures, devices, or objects inserted into the body, often related to tubes, catheters, or other medical equipment."""	9B
20	253	"""The model is activated by tokens that indicate frequency, dosage, or timing of medication or medical events, as well as certain medical findings or test results."""	9B
20	254	"""Medical information, particularly health-related terms, medical procedures, and patient data."""	9B
20	256	"""Quantities of substances, particularly those related to smoking and drinking habits."""	9B
20	257	"""Units of measurement, medical abbreviations, or specific medical instructions."""	9B
20	258	"""The model is activated by medical terms or phrases that describe a specific condition, symptom, or medical concept, often with a focus on the severity or extent of the condition."""	9B
20	259	"""Diagnostic tests or medical imaging procedures."""	9B
20	26	"""Coagulation-related terms, including anticoagulant medications, coagulation disorders, and cardiac conditions that may require anticoagulation therapy."""	9B
20	260	"""Punctuation marks, particularly those used to denote the end of a sentence or to set off a quotation, are highly activated, while words related to medical equipment or mobility aids are moderately activated."""	9B
20	261	"""Quoted text or speech, often indicating direct patient statements or specific medical information."""	9B
20	262	"""The model is activated by tokens that are part of a larger sequence indicating a negation or absence, often in a medical context, or tokens that are part of a sequence indicating a unit or quantity, often in a medical context."""	9B
20	265	"""The model is activated by words that indicate a connection or relationship between entities, such as \""ensuing\"", \""associated\"", \""accompanying\"", \""included\"", \""surrounding\"", and \""prior\"", often in a medical context."""	9B
20	266	"""Punctuation marks or words that introduce or provide context for a specific example, list, or detail in a medical narrative."""	9B
20	267	"""Foot or lower leg anatomy."""	9B
20	268	"""The model is activated by tokens that indicate transitions, connections, or relationships between ideas, events, or values, often marked by prepositions, conjunctions, or mathematical operators."""	9B
20	27	"""Terms related to abdominal or gastrointestinal conditions, including diseases, symptoms, and anatomical structures."""	9B
20	276	"""Medical concepts, particularly those related to cardiovascular health, and phrases indicating a change or comparison, often in the context of medical treatment or diagnosis."""	9B
20	277	"""The model is recognizing a specific date format, likely indicating a date in the format \""20XX\"" or \""/20XX\""."""	9B
20	279	"""Periods that appear to be part of a medication or prescription notation, often marking the end of a dosage or instruction, and also dashes that appear to be part of a notation marking the start of a new section or category."""	9B
20	28	"""The medication Isosorbide."""	9B
20	280	"""Prepositional phrases indicating location or position, often involving body parts or anatomical structures."""	9B
20	285	"""Expressions of love, care, or affection, as well as the medication Lovenox."""	9B
20	288	"""Medications, particularly anticoagulants and antiplatelets, as well as medical conditions and diagnostic tests."""	9B
20	289	"""The model is activated by tokens related to a person or patient, particularly when describing their identity, orientation, or physical examination."""	9B
20	29	"""The preposition \""of\"" is consistently activated across various medical contexts, suggesting its role in indicating possession, origin, or relationship between entities in medical descriptions."""	9B
20	290	"""The word \""that\"" is consistently activated, often in conjunction with a preceding or following word, when it is used as a pronoun to introduce a dependent clause, typically describing a consequence or a result of a preceding action or condition."""	9B
20	291	"""The model is activated by tokens that are part of a conditional or hypothetical phrase, often introduced by \""if\"" or \""wish\"", and typically expressed in the subjunctive mood, particularly with the verb \""were\""."""	9B
20	293	"""The process of acquiring knowledge or skills, often related to health or medical conditions."""	9B
20	295	"""The model is activated by the presence of a verb, often in the form of a linking verb (\""are\"", \""had\"") or a verb suffix (\""ine\""), typically in the context of medical descriptions or prescriptions, particularly when the verb is adjacent to or part of a medical term."""	9B
20	297	"""Instructions or actions to be taken in case of emergency or concerning symptoms, often involving contact with medical professionals or emergency services."""	9B
20	298	"""Medical imaging and measurement notation, particularly in radiology reports."""	9B
20	300	"""Medication names or nutritional components, particularly those related to vitamins and iron supplements."""	9B
20	301	"""Tokens that are part of abbreviations or medical terminology, often indicating a specific medical condition, procedure, or medication."""	9B
20	303	"""ICD-9 codes and image series numbers."""	9B
20	304	"""Medical plans, prescriptions, or dosages, often denoted by specific formatting or symbols."""	9B
20	307	"""Cranial nerve assessments, particularly those involving cranial nerves II through XII."""	9B
20	310	"""Abbreviations or partial words of medical terms or units."""	9B
20	312	"""Descriptive phrases or words indicating abnormal or notable medical findings, particularly those suggesting pathology or disease."""	9B
20	313	"""Medical terms or abbreviations, particularly those related to medical devices, procedures, or medications."""	9B
20	314	"""Section headings or labels in medical history, particularly those related to past medical history, allergies, medications, and social or family history."""	9B
20	315	"""Time-related phrases or words indicating a specific point or period in a patient's hospital course or treatment."""	9B
20	316	"""The verb \""suggest\"" or its variants (\""suggesting\"", \""implied\"") when used to indicate a possible diagnosis or interpretation of medical findings."""	9B
20	317	"""The model is activated by mentions of body weight or obesity."""	9B
20	319	"""The token \""s\"" is consistently activated when it appears in the context of medication prescriptions, specifically in the format \""Capsule(s)\""."""	9B
20	32	"""Postoperative day information, particularly the day number and surrounding context."""	9B
20	320	"""Health insurance or medical conditions."""	9B
20	323	"""Discharge-related information, including disposition, medications, and medical codes."""	9B
20	324	"""Organs, body parts, or medical imaging tests."""	9B
20	325	"""The preposition \""of\"" or \""on\"" when used in the context of providing additional information or details, often referring to a report, note, or summary."""	9B
20	326	"""Prepositions or words that indicate a relationship or transition between entities or actions."""	9B
20	328	"""Medical findings, diagnoses, or test results, often in the context of normal or abnormal values."""	9B
20	33	"""The model is activated by mentions of body parts, particularly limbs, and symptoms or conditions associated with them, such as pain."""	9B
20	330	"""The presence of causal or explanatory relationships, often indicated by words like \""due\"", \""related\"", \""consistent\"", \""secondary\"", or \""evidence\"", which provide a reason or justification for a particular condition or finding."""	9B
20	331	"""Atrial fibrillation and related concepts, including its diagnosis, treatment, and complications."""	9B
20	332	"""Tokens that are part of medical terminology, measurements, or specific medical concepts tend to have higher activation levels, while tokens that are part of general language or sentence structure tend to have lower activation levels."""	9B
20	334	"""Numerical values, particularly those related to medical measurements, dosages, or quantities."""	9B
20	336	"""The model is activated by phrases that indicate a causal or temporal relationship, often introduced by words like \""with\"" or \""which\"", and typically followed by a noun or verb phrase that provides more context or information."""	9B
20	341	"""Inability to retain substances, such as vomiting or coughing up fluids."""	9B
20	344	"""Medical supplies, treatments, or medications."""	9B
20	345	"""Radiological findings and medical imaging results."""	9B
20	346	"""The model is activated by tokens related to medical conditions or states, particularly those with a \""hypo-\"" prefix, indicating low or decreased levels of something, as well as other conditions such as low blood pressure, kidney issues, or deficiencies."""	9B
20	348	"""The model is activated by phrases indicating the continuation or existence of a condition, medication, or finding, often in a medical context."""	9B
20	350	"""Hospital policies, medical protocols, or treatment approaches."""	9B
20	351	"""Discharge destinations or transitions."""	9B
20	352	"""Transitioning a patient to a different location or level of care."""	9B
20	353	"""The presence of \""black\"" stools, often associated with gastrointestinal bleeding or other medical conditions."""	9B
20	354	"""Periods and abbreviations related to medication instructions, particularly those indicating dosage frequency."""	9B
20	355	"""Tokens ending in the suffix \""-ness\"" are consistently activated, indicating a pattern of emphasis on states or conditions."""	9B
20	356	"""Medication instructions or kidney-related terms."""	9B
20	357	"""Overall or global assessments of left ventricular function or structure."""	9B
20	358	"""Medication formulations, specifically the term \""Capsule\"" in a medical prescription context."""	9B
20	359	"""The presence of \""Haem\"" is highly activated when it appears in medical terms related to blood or bacterial infections, particularly Haemophilus."""	9B
20	36	"""Quantitative expressions or modifications of quantities, including fractions, percentages, and doubling or halving."""	9B
20	360	"""The token \""few\"" is consistently activated across various medical contexts, suggesting that the model is recognizing this token as a significant indicator of a pattern, likely related to the quantification or description of medical events, symptoms, or findings."""	9B
20	361	"""The model is activated by phrases that indicate the timing or context of a medical event or action, often involving the patient or a medical professional."""	9B
20	362	"""Medical terms or phrases, often related to diagnoses, lab findings, or medical concepts, that are typically used in a clinical or technical context."""	9B
20	363	"""The word \""my\"" is consistently activated when it is part of a medical term, particularly those related to the heart or cardiovascular system, such as \""mycoplasma\"", \""myocardium\"", \""myocardial infarction\"", and \""myoclonus\""."""	9B
20	365	"""The term \""position\"" is highly activated when referring to the placement or location of medical devices or objects within the body, such as endotracheal tubes, catheters, or chest tubes."""	9B
20	369	"""Medication dosages and units, often in the format of a number followed by a unit of measurement, such as milligrams (mg)."""	9B
20	370	"""Anatomical locations or directions, particularly those related to the human body."""	9B
20	373	"""Periods (.) and medical conditions or diagnoses."""	9B
20	374	"""The model is activated by mentions of medical professionals or their roles, particularly when they are directly involved in patient care or decision-making."""	9B
20	375	"""Pulmonary vasculature or airway structures at or below the segmental level."""	9B
20	376	"""Medical abbreviations, units of measurement, or specific medical terms, particularly those related to laboratory tests, medical history, or treatment."""	9B
20	377	"""The token \""that\"" is consistently activated when it is used to introduce a subordinate clause, often providing additional information or context to the main clause."""	9B
20	378	"""Post-surgical wound status or symptoms."""	9B
20	379	"""Professions or fields related to law."""	9B
20	383	"""The presence of a condition or diagnosis, often introduced by a contrasting or cautionary phrase, such as \""Although\"" or \""While\"", and typically involving a medical term or concept."""	9B
20	385	"""The model is activated by mentions of the patient, often in the context of medical actions or decisions being made about or for the patient."""	9B
20	387	"""The definite article \""The\"" is consistently activated across various contexts, suggesting that it is a trigger word for the model, often indicating the start of a new sentence or a specific detail, regardless of the surrounding content."""	9B
20	389	"""Numerical values, particularly those that appear to be measurements or quantities, often in a medical context."""	9B
20	390	"""Neurological examination findings, particularly those related to cranial nerves, including vision, hearing, and pupillary responses."""	9B
20	392	"""Numerical values, particularly those related to medication dosages or frequencies."""	9B
20	393	"""\""this\"" is activated when it refers to a specific, often medical, concept or event, serving as a placeholder or indicator in the text."""	9B
20	396	"""The presence of the sequence \""Ph\"" in medication names or abbreviations for \""phone\"" or \""physical\""."""	9B
20	398	"""The medication name \""Allopurinol\""."""	9B
20	399	"""Anatomical locations, particularly bones and body parts, especially when referring to specific regions of the spine or brain."""	9B
20	400	"""The model is activated by medical terms or abbreviations, particularly those related to diseases, conditions, or medical procedures."""	9B
20	402	"""The word \""outside\"" is consistently activated when referring to a location outside the current hospital or institution, often indicating a transfer or previous admission to a different hospital."""	9B
20	403	"""The activation levels are higher for tokens that are part of a sequence of text that is clinically relevant, such as medical procedures, diagnoses, medications, and test results, especially when these sequences are explicitly marked as important by being enclosed in delimiters."""	9B
20	404	"""The model is activated by verb phrases, particularly those in the past tense or present continuous, often indicating actions, states, or conditions."""	9B
20	405	"""The model is activated by phrases indicating obligation, expectation, or intention, often in the context of medical treatment or scheduled events, with \""supposed to\"" being a key phrase."""	9B
20	406	"""The model is activated by tokens that are part of medical or health-related phrases, particularly those that are specific or technical, and also by tokens that are part of phrases that describe age or developmental stages, especially infancy."""	9B
20	408	"""Time of day, specifically morning, or the state of being awake."""	9B
20	41	"""The activation patterns are associated with the removal of medical devices, dressings, or other objects, often in the context of post-operative wound care."""	9B
20	412	"""Family history mentions of deceased relatives, particularly the manner and age of death."""	9B
20	413	"""Medication names, dosages, and medical abbreviations."""	9B
20	414	"""The model is activated by tokens that are part of a medical record or report, particularly those that are part of a heading, title, or a specific section, such as \""HISTORY\"", \""list\"", or \""systems\"", as well as specific medical terms or values, often at the beginning of a line or section."""	9B
20	415	"""The model is activated by tokens that indicate a transition, progression, or outcome, often related to a sequence of events or a change in state."""	9B
20	416	"""The presence of the word \""still\"" in a context indicating an ongoing or persistent condition, often paired with a description of the condition's status or effects."""	9B
20	417	"""Discontinuation or removal of medical interventions, such as medications, tubes, or ventilation, often with an emphasis on the absence of complications."""	9B
20	418	"""Medical abbreviations or terms for medical conditions, treatments, or devices."""	9B
20	419	"""Blood pressure or pressure in general."""	9B
20	420	"""The model is activated by phrases indicating a lack of improvement or a negative outcome in a patient's condition, often in response to a treatment or intervention."""	9B
20	421	"""Tokens within medical reports that are part of section headers or labels, particularly those that indicate the start of a new section or subsection, tend to have higher activation levels."""	9B
20	422	"""Numerical values, particularly zeros, in medical measurements and test results."""	9B
20	424	"""The model is activated by tokens that are part of a medical or dosage notation, often involving a colon, or the word \""of\"" or \""with\"" in a specific medical context."""	9B
20	425	"""Numerical values, particularly those related to vital signs and medical measurements."""	9B
20	426	"""The model is activated by mentions of a patient's racial or ethnic background."""	9B
20	428	"""The model is activated by isolated digits or punctuation marks, often in the context of medical instructions, dosages, or lists."""	9B
20	43	"""The model is activated by the presence of \""Cef\"" as a prefix, likely indicating the antibiotic Ceftriaxone or other Cef-based antibiotics, and by the term \""postoperative day\"", indicating a specific point in time during a patient's hospital stay."""	9B
20	430	"""The model is activated by tokens that are part of a checkbox or a value in a medical record, often indicating a specific condition, test result, or patient information."""	9B
20	433	"""Microbial-related terms, including specific microorganisms, infections, and colonization."""	9B
20	437	"""Administration routes or methods of medication delivery."""	9B
20	44	"""The activation levels are high for tokens that describe normal or unremarkable medical findings, particularly when these findings are explicitly stated."""	9B
20	440	"""The model is activated by tokens that are part of a narrative sequence describing a patient's medical history, treatment, or symptoms, particularly when these tokens are part of a phrase or sentence that is being set up or transitioned into."""	9B
20	441	"""The suffixes of medication names, particularly those ending in \""-phen\"" or \""-thiazide\""."""	9B
20	442	"""Reasonable or sensible actions, decisions, or expectations, often in the context of health or medical situations."""	9B
20	443	"""Medical terms or abbreviations, often related to medical conditions, tests, or anatomy."""	9B
20	444	"""Indications that a patient is ready for discharge or transfer."""	9B
20	446	"""Post-surgical care instructions, particularly those involving wound cleaning and pain management."""	9B
20	447	"""The token \""Fall\"" is activated when it refers to the season, particularly in the context of influenza immunization recommendations."""	9B
20	452	"""Medical terms or phrases that describe a procedure, diagnosis, treatment, or medical condition, often indicating a specific intervention or action."""	9B
20	453	"""Contrastive conjunctions or pronouns that facilitate a shift in the narrative or introduce a new idea, often indicating a change in the patient's condition or a notable event."""	9B
20	454	"""Numerical values, particularly those with decimal points or negative signs, often in the context of medical measurements or test results."""	9B
20	456	"""The model is activated by phrases or words that are part of a medical or clinical context, particularly when they are part of a specific medical term, instruction, or measurement, often indicating a condition, treatment, or test result."""	9B
20	457	"""Inspiration or breathing, often in the context of medical imaging or respiratory function."""	9B
20	458	"""The activation patterns are associated with the presence of a highlighted or emphasized text, typically denoted by asterisks (*) or double asterisks (**) surrounding the text, often indicating important information or instructions."""	9B
20	459	"""The activation levels are higher for tokens that are part of a medical or clinical context, particularly when describing a patient's condition, medical history, or test results, and lower for tokens that are part of a non-medical or structural context, such as formatting or punctuation."""	9B
20	46	"""Verbs or verb phrases that describe a change in state, effect, or outcome, often related to medical treatment or condition."""	9B
20	460	"""The presence of the prefix \""atra-\"" or the word \""appealing\"" in medical contexts, particularly in descriptions of patient conditions or reactions."""	9B
20	462	"""The token \""or\"" is consistently activated across all snippets, often in conjunction with other tokens, indicating that the pattern is related to the presence of the word \""or\"" in medical instructions or guidance, typically used to provide alternatives or options."""	9B
20	463	"""Organs or body parts, particularly those in the pelvic or abdominal region."""	9B
20	465	"""The model is activated by tokens indicating a lack of improvement or a negative outcome in a patient's condition, often related to the absence of relief or the presence of concern."""	9B
20	467	"""Comparisons to prior medical studies or examinations, often indicating a change or lack thereof."""	9B
20	469	"""The activation levels are higher for tokens that are part of a medical or clinical phrase or sentence, particularly those that describe a diagnosis, treatment, or medical procedure, and lower for tokens that are part of a more general or introductory phrase."""	9B
20	470	"""The token \""can\"" is activated when it is used to indicate permission or ability in the context of patient instructions or advice."""	9B
20	472	"""Quantities or measurements of substances, often in medical or recipe contexts."""	9B
20	474	"""Numerical values or quantities, often in the context of medication dosages or medical instructions."""	9B
20	477	"""Spinal anatomy and pathology, particularly vertebral levels and associated conditions."""	9B
20	478	"""The model is activated by pronouns referring to the patient, particularly \""He\"", \""She\"", \""Her\"", and \""You\"", indicating that the pattern is related to the subject of the text, often the patient."""	9B
20	479	"""Abbreviations or incomplete words, often representing medical terms or measurements."""	9B
20	48	"""The pronouns \""us\"" and \""we\"" are consistently activated, suggesting that the pattern is related to first-person plural pronouns, often indicating the involvement or consideration of the medical team or healthcare providers."""	9B
20	481	"""The model is activated by tokens that are part of a medical prescription or dosage instruction, often including punctuation marks and prepositions that are part of the instruction."""	9B
20	484	"""The word \""summer\"" is the primary activator, often indicating a time period or season, with activation levels decreasing when \""summer\"" is part of a larger phrase or appears in a less prominent context."""	9B
20	486	"""Mobility-related activities, specifically walking or ambulating, often with mention of assistive devices."""	9B
20	487	"""The term \""series\"" is consistently activated, often in the context of medical imaging, indicating that it is a key term in describing sequences of images or studies."""	9B
20	488	"""The \""&\"" symbol is often used to denote medical abbreviations or symbols, particularly in radiology and laboratory test names."""	9B
20	49	"""The model is activated by tokens that are part of phrases indicating a cause-and-effect relationship, a sequence of actions, or a description of a medical condition or its symptoms."""	9B
20	490	"""Time intervals or frequencies, particularly those related to regular or periodic events, such as annual or monthly occurrences."""	9B
20	493	"""Laboratory values and units, often in a format indicating a range or a specific measurement."""	9B
20	496	"""Medical terms related to lymphoma, particularly those involving specific types of lymphoma or treatments for lymphoma."""	9B
20	498	"""Adverbs or words indicating frequency, manner, or unexpected events."""	9B
20	499	"""Causal or logical connections between events or ideas, often indicated by transitional words or phrases."""	9B
20	501	"""The model is activated by words that are part of medical terminology, specifically words related to medical procedures, medications, or substances, often when they appear as part of a compound word or phrase."""	9B
20	502	"""Numerical values, particularly those related to medication dosages, units, or measurements, and also specific types of insulin."""	9B
20	503	"""The phrase \""proved\"" or \""proved to be\"" indicating the outcome or result of a test, treatment, or situation."""	9B
20	504	"""Past tense verb forms, particularly those ending in -ed, often indicating completed actions or states."""	9B
20	509	"""Medical terms, diagnoses, medications, and specific medical concepts or phrases, often denoted by technical or abbreviated language."""	9B
20	51	"""The term \""features\"" is consistently activated when referring to notable characteristics, findings, or patterns observed in medical images, test results, or patient conditions."""	9B
20	510	"""Units of time or measurement, particularly those related to medical administration or patient monitoring."""	9B
20	513	"""Roman numerals, colons, and certain lab values or medical terms, particularly those related to cranial nerves or electrolytes."""	9B
20	515	"""The model is activated by words related to self-employment, entrepreneurship, or independence, as well as certain medical conditions or terms."""	9B
20	518	"""Laboratory values, medical test results, and specific components of medical data."""	9B
20	52	"""The model is activated by tokens that are part of a phrase or sentence that indicates a specific instance, example, or detail, often introduced by a word or phrase that sets up the instance, such as \""in your case\"", \""on postoperative day one\"", or \""the largest of these is\""."""	9B
20	521	"""Medical concepts, phrases, or keywords, particularly those related to diagnoses, lab findings, medication administration, and medical procedures."""	9B
20	522	"""Units or separators in medical measurements, dosages, or abbreviations."""	9B
20	523	"""Actions or procedures, often involving specific steps or manipulations of objects."""	9B
20	524	"""The activation patterns are associated with the concept of scheduling or arranging a follow-up appointment, often with a specific doctor or medical service."""	9B
